CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-2181419,JAK1 EC50(uM),0.131,,239.28,72,-0.56,-3.0738,3,5,3,0.38462,Class C,,287,,,
CM-2241089,JAK1 EC50(uM),0.0275,,496.44,111.11,-0.332,-1.5995,2,9,3,0.63636,Class C,0.406,624,0.00025,0.025,11.3
CM-2262791,JAK1 EC50(uM),3,,224.64,54.98,2.186,2.1861,1,4,2,0.2,Class C,62.7,,,,
CM-2141327,JAK1 EC50(uM),0.129,,393.41,58.45,1.69,0.5119,1,6,3,0.57895,Class C,46,491,,,4.9
CM-2148741,JAK1 EC50(uM),3,,391.53,82.19,2.691,2.6462,1,7,2,0.68421,Class C,31.5,,,,65.6
CM-2160531,JAK1 EC50(uM),0.018,,454.36,111.11,-1.662,-2.9332,2,9,3,0.57895,Class C,0.591,559,,,9.18
CM-2273264,JAK1 EC50(uM),1.62,,517.66,126.65,1.799,1.7235,4,9,3,0.41667,Class C,,41,,,2.5
CM-2205370,JAK1 EC50(uM),0.0273,,447.47,49.22,1.68,-1.5125,1,5,3,0.65217,Class C,11.5,5,,,2.5
CM-2231974,JAK1 EC50(uM),0.0293,,267.33,68.59,2.572,2.526,1,5,2,0.4,Class C,,,,,
CM-2240553,JAK1 EC50(uM),0.023,,403.4,58.45,1.065,0.7215,1,6,3,0.6,Class C,26.2,602,,,14.9
CM-2181003,JAK1 EC50(uM),0.0332,,371.43,49.22,1.679,-0.5906,1,5,3,0.6,Class C,19.3,131,,,16.6
CM-2134487,JAK1 EC50(uM),0.0615,,309.37,68.1,0.802,0.8022,1,6,3,0.58824,Class C,44.5,418,,,16.6
CM-2160522,JAK1 EC50(uM),0.098,,357.4,49.22,1.847,0.5779,1,5,3,0.47368,Class C,23.3,60,,,17.9
CM-2122466,JAK1 EC50(uM),,,283.29,85.16,-0.003,-0.0031,1,7,3,0.42857,Class C,22.1,81,,,81.5
CM-2248811,JAK1 EC50(uM),0.0635,,315.32,49.22,0.785,0.7842,1,5,3,0.5,Class C,58,202,,,10.6
CM-2194032,JAK1 EC50(uM),0.237,,374.38,64.44,0.632,0.6313,1,6,3,0.57895,Class C,56.7,556,,,11
CM-2194034,JAK1 EC50(uM),3,,374.38,64.44,0.632,0.6313,1,6,3,0.57895,Class C,54.4,547,,,8.38
CM-2147744,JAK1 EC50(uM),0.0311,,308.38,55.21,1.636,1.6357,1,5,3,0.44444,Class C,30.1,201,,,16.5
CM-2167750,JAK1 EC50(uM),0.0368,,599.65,132.55,2.567,2.4233,3,11,4,0.32143,Class C,10.3,31,,,2.5
CM-1986169,JAK1 EC50(uM),0.0165,,352.39,99.31,0.393,0.3931,1,8,3,0.44444,Class C,39.3,534,,,3.76
CM-2108465,JAK1 EC50(uM),0.322,,294.35,55.21,1.479,1.4782,1,5,3,0.41176,Class C,,,,,
CM-2151017,JAK1 EC50(uM),1.18,,321.38,85.9,0.032,0.0074,1,7,3,0.52941,Class C,19.3,494,,,18.2
CM-2215233,JAK1 EC50(uM),0.00645,,288.3,45.98,1.098,1.0972,1,4,3,0.46667,Class C,50.6,40.7,,,2.5
CM-2194033,JAK1 EC50(uM),0.223,,374.38,64.44,0.632,0.6313,1,6,3,0.57895,Class C,47.7,607,,,12.2
CM-2240360,JAK1 EC50(uM),3,,317.38,57.2,-3.321,-3.321,2,5,3,0.52941,Class C,1.04,303,,,9.27
CM-2108456,JAK1 EC50(uM),0.426,,310.39,55.21,2.032,2.0307,1,5,3,0.55556,Class C,35.4,,,,19.6
CM-2148637,JAK1 EC50(uM),3,,377.5,90.97,2.056,1.9931,2,7,2,0.66667,Class C,30.7,167,,,16.7
CM-2194035,JAK1 EC50(uM),0.167,,374.38,64.44,0.632,0.6313,1,6,3,0.57895,Class C,58.9,596,,,9.29
CM-2177783,JAK1 EC50(uM),0.0272,,357.43,58.45,0.8,-0.6792,1,6,3,0.57895,Class C,55.1,236,,,3.26
CM-2206021,JAK1 EC50(uM),0.0459,,272.32,45.98,1.814,1.8131,1,4,3,0.46667,Class C,49.7,61.1,,,2.5
CM-2163474,JAK1 EC50(uM),0.0544,,348.44,73,1.154,-1.2389,1,6,3,0.55,Class C,35,488,,,2.8
CM-2209049,JAK1 EC50(uM),0.00701,,304.34,45.98,2.217,2.2163,1,4,3,0.5,Class C,30.1,5,,,2.5
CM-2046200,JAK1 EC50(uM),3,,300.36,60.37,2.402,2.4016,0,6,2,0.5625,Class C,67.4,582,,,31.2
CM-2148847,JAK1 EC50(uM),,,391.53,82.19,2.691,2.6462,1,7,2,0.68421,Class C,24.1,1,,,185
CM-2148840,JAK1 EC50(uM),3,,391.53,82.19,2.691,2.6462,1,7,2,0.68421,Class C,29.9,3,,,216
CM-2041135,JAK1 EC50(uM),3,,300.36,60.37,2.463,2.4604,0,6,2,0.5625,Class C,77.9,513,,,530
CM-2163472,JAK1 EC50(uM),0.301,,385.45,49.22,1.895,-0.3298,1,5,3,0.61905,Class C,13.6,35,,,2.5
CM-1439500,JAK1 EC50(uM),3,,377.5,90.97,2.056,1.9931,2,7,2,0.66667,Class C,34.5,175,,,9.54
CM-2150569,JAK1 EC50(uM),0.0444,,315.39,49.22,1.392,0.247,1,5,3,0.52941,Class C,29.8,331,,,17.3
CM-2149368,JAK1 EC50(uM),3,,296.37,55.73,1.665,1.6646,1,5,3,0.52941,Class C,34.4,,,,9.59
CM-2268741,JAK1 EC50(uM),0.0848,,361.39,68.1,1.757,1.7575,1,6,3,0.61111,Class C,46.1,14,,,2.5
CM-2151014,JAK1 EC50(uM),0.647,,335.39,56.84,2.699,2.3888,2,5,2,0.52941,Class C,,,,,
CM-2068140,JAK1 EC50(uM),0.0824,,347.41,79.09,1.862,1.8622,2,6,4,0.35,Class C,36,396,,,
CM-2149397,JAK1 EC50(uM),3,,202.26,44.81,2.129,2.0824,1,4,2,0.45455,Class C,65.9,265,,,15.3
CM-2277383,JAK1 EC50(uM),1.18,,309.32,77.33,0.777,0.7768,1,7,4,0.1875,Class C,55.1,41,,,120
CM-2215020,JAK1 EC50(uM),0.00849,,588.5,137.41,-0.064,-1.2456,2,11,4,0.44444,Class C,0.131,564,,,59.5
CM-2174398,JAK1 EC50(uM),0.0271,,295.38,58.87,2.473,2.4728,1,5,3,0.47059,Class C,41.3,91,,,56
CM-2040611,JAK1 EC50(uM),3,,225.25,58.87,0.359,0.3592,1,5,3,0.41667,Class C,72.5,543,,,6.74
CM-2163477,JAK1 EC50(uM),0.135,,365.47,58.45,1.509,-0.6782,1,6,3,0.61905,Class C,32.6,253,,,7.45
CM-2151012,JAK1 EC50(uM),0.428,,335.39,56.84,2.699,2.3888,2,5,2,0.52941,Class C,7.38,303,,,
CM-2177784,JAK1 EC50(uM),0.0216,,357.43,58.45,0.8,-0.6792,1,6,3,0.57895,Class C,53,272,,,8.02
CM-2147868,JAK1 EC50(uM),,,310.39,55.21,2.032,2.0307,1,5,3,0.55556,Class C,14.7,3,,,50
CM-2147957,JAK1 EC50(uM),0.0271,,270.33,66.21,0.765,0.7645,2,5,3,0.46667,Class C,48.8,604,,,9.63
CM-2151521,JAK1 EC50(uM),0.0845,,365.4,49.22,1.749,0.9988,1,5,3,0.55556,Class C,34.6,501,,,14.2
CM-2222863,JAK1 EC50(uM),0.0451,,322.4,55.21,1.775,1.7744,1,5,3,0.57895,Class C,37.8,43.2,,,2.5
CM-2140377,JAK1 EC50(uM),0.116,,309.41,49.22,1.555,-1.1395,1,5,3,0.55556,Class C,30.5,634,,,23
CM-2151492,JAK1 EC50(uM),0.212,,381.4,58.45,1.682,0.4682,1,6,3,0.55556,Class C,21.8,481,,,16.7
CM-2163471,JAK1 EC50(uM),0.0754,,391.43,49.22,2.606,0.7538,1,5,3,0.6,Class C,9.33,182,,,2.5
CM-2144035,JAK1 EC50(uM),3,,323.39,57.28,2.632,2.3751,1,6,3,0.33333,Class C,,,,,
CM-2150568,JAK1 EC50(uM),0.017,,315.39,49.22,1.392,0.247,1,5,3,0.52941,Class C,34.9,516,,,4.98
CM-2231452,JAK1 EC50(uM),0.0583,,352.43,64.44,1.524,1.5237,1,6,3,0.6,Class C,50.4,303,,,172
CM-2229439,JAK1 EC50(uM),0.00955,,387.43,67.23,1.556,-0.237,2,6,3,0.6,Class C,32,70.4,,,25.7
CM-2204958,JAK1 EC50(uM),0.0505,,290.31,45.98,1.965,1.9641,1,4,3,0.46667,Class C,47.5,12,,,2.5
CM-2163468,JAK1 EC50(uM),0.0499,,359.42,49.22,1.655,-0.5032,1,5,3,0.57895,Class C,24.6,387,,,12.2
CM-2149370,JAK1 EC50(uM),3,,335.39,48.05,2.737,2.6845,1,5,2,0.64706,Class C,,,,,
CM-2122670,JAK1 EC50(uM),0.0157,,330.33,55.21,0.833,0.8323,1,5,3,0.52941,Class C,38,98,,,2.5
CM-2163469,JAK1 EC50(uM),0.154,,377.41,49.22,2.249,0.413,1,5,3,0.57895,Class C,19.6,119,,,5.56
CM-2150937,JAK1 EC50(uM),0.476,,306.36,55.21,1.223,1.2219,1,5,3,0.44444,Class C,29.4,192,,,51.6
CM-2191950,JAK1 EC50(uM),0.0772,,399.48,49.22,2.22,-0.7337,1,5,3,0.63636,Class C,7.65,23,,,8.02
CM-2005060,JAK1 EC50(uM),1.76,,225.25,58.01,-0.337,-2.792,2,5,3,0.16667,Class C,9.47,601,,,
CM-2147857,JAK1 EC50(uM),0.11,,310.39,55.21,2.032,2.0307,1,5,3,0.55556,Class C,14.5,2,,,70.8
CM-2191942,JAK1 EC50(uM),0.0989,,421.46,58.45,2.211,-0.5854,1,6,3,0.61905,Class C,17.8,451,,,11.5
CM-2147734,JAK1 EC50(uM),0.0469,,270.33,66.21,0.765,0.7645,2,5,3,0.46667,Class C,45.7,587,,,19.7
CM-2248989,JAK1 EC50(uM),0.0485,,339.41,49.22,1.257,0.5002,1,5,3,0.57895,Class C,,276,,,78.5
CM-2263822,JAK1 EC50(uM),0.28,,263.3,58.87,0.741,0.7412,1,5,3,0.4,Class C,57.1,88,,,2.5
CM-2191936,JAK1 EC50(uM),0.0557,,405.46,49.22,2.93,0.7224,1,5,3,0.61905,Class C,,106,,,41.2
CM-2268739,JAK1 EC50(uM),0.0681,,414.49,55.21,3.125,3.1248,1,5,3,0.65217,Class C,62.1,,,,2.5
CM-2140377,JAK1 EC50(uM),0.116,,309.41,49.22,1.555,-1.1395,1,5,3,0.55556,Class C,30.5,634,,,23
CM-2020292,JAK1 EC50(uM),0.517,,240.26,55.21,-0.022,-0.0228,1,5,3,0.38462,Class C,78.4,587,,,2.5
CM-2040614,JAK1 EC50(uM),3,,293.25,58.87,1.024,1.0237,1,5,3,0.46154,Class C,79.7,54,,,2.5
CM-2215021,JAK1 EC50(uM),0.0673,,424.34,101.88,-2.3,-3.6007,2,8,3,0.55556,Class C,0.297,468,,,2.5
CM-2228051,JAK1 EC50(uM),0.0256,,334.36,55.21,2.78,2.7789,1,5,3,0.52941,Class C,1.26,303,,,10.1
CM-2238138,JAK1 EC50(uM),0.11,,357.4,58.01,1.029,-1.8145,2,5,3,0.57895,Class C,,155,,,228
CM-2034943,JAK1 EC50(uM),0.124,,405.46,49.22,3.018,1.0551,1,5,3,0.61905,Class C,7.66,335,,,29.7
CM-2144028,JAK1 EC50(uM),3,,355.38,57.7,3.002,2.9614,1,5,3,0.42105,Class C,,,,,
CM-2175295,JAK1 EC50(uM),0.0292,,342.37,64.44,0.216,0.2155,1,6,3,0.55556,Class C,54.2,13,,,10.1
CM-2121740,JAK1 EC50(uM),0.00705,,308.38,55.21,1.544,1.5438,1,5,3,0.44444,Class C,40.8,51,,,119
CM-2166704,JAK1 EC50(uM),0.328,,282.34,55.21,1.136,1.1352,1,5,3,0.5,Class C,59.3,66,,,2.5
CM-2144022,JAK1 EC50(uM),3,,361.39,82.19,2.045,2.0011,1,7,3,0.25,Class C,,,,,
CM-2006733,JAK1 EC50(uM),0.15,,367.37,58.45,2.316,1.1737,1,6,3,0.52941,Class C,36.7,316,,,14
CM-2163470,JAK1 EC50(uM),0.123,,365.47,58.45,1.16,-1.592,1,6,3,0.61905,Class C,43.1,442,,,6.84
CM-2163479,JAK1 EC50(uM),1.13,,369.46,89.68,-0.29,-2.3997,3,7,3,0.6,Class C,,426,,,2.5
CM-2044169,JAK1 EC50(uM),0.291,,385.48,69.21,3.327,2.7548,2,7,2,0.55,Class C,0.922,519,,,6.95
CM-2156967,JAK1 EC50(uM),3,,372.41,55.21,1.707,1.7059,1,5,3,0.6,Class C,20.1,,,,7.23
CM-2282061,JAK1 EC50(uM),0.115,,348.38,70.9,0.998,-0.2774,2,6,4,0.31579,Class C,45.4,101,,,38.9
CM-2014542,JAK1 EC50(uM),3,,420.31,78.31,1.045,1.0446,2,7,3,0.4375,Class C,31.4,655,,,2.5
CM-2167276,JAK1 EC50(uM),0.839,,599.65,132.55,2.567,2.4233,3,11,4,0.32143,Class C,13.6,21,,,2.5
CM-2167733,JAK1 EC50(uM),0.115,,328.34,64.44,0.156,0.1555,1,6,3,0.52941,Class C,41.9,579,,,18.5
CM-2277380,JAK1 EC50(uM),1.92,,308.33,64.44,1.4,1.4,1,6,4,0.17647,Class C,37.6,12,,,2.5
CM-2191944,JAK1 EC50(uM),0.0902,,355.45,49.22,1.784,-0.9455,1,5,3,0.6,Class C,16.7,33,,,9.77
CM-2151522,JAK1 EC50(uM),0.0361,,365.4,49.22,1.749,0.9988,1,5,3,0.55556,Class C,33.7,112,,,10.3
CM-2144030,JAK1 EC50(uM),3,,327.36,66.93,3.16,3.1197,1,6,3,0.35294,Class C,,,,,
CM-2144031,JAK1 EC50(uM),3,,363.34,73.83,3.036,2.9908,1,7,3,0.375,Class C,,,,,
CM-2152688,JAK1 EC50(uM),0.231,,367.49,58.45,1.613,,1,6,3,0.61905,Class C,36.8,563,,,24.8
CM-2282967,JAK1 EC50(uM),0.0735,,343.33,75.08,-0.09,-0.0899,2,6,3,0.47059,Class C,41.3,24,,,2.5
CM-2001870,JAK1 EC50(uM),0.0902,,339.39,75.52,1.008,1.0078,1,7,3,0.5,Class C,43.2,603,,,24
CM-2071279,JAK1 EC50(uM),0.27,,295.34,90,0.305,0.3037,2,6,3,0.4375,Class C,9.57,556,,,3.34
CM-2005640,JAK1 EC50(uM),0.529,,242.28,55.21,0.302,0.3013,1,5,3,0.38462,Class C,53.3,578,,,6.1
CM-2163475,JAK1 EC50(uM),0.0805,,335.45,49.22,1.808,-0.9474,1,5,3,0.6,Class C,13.3,296,,,18.6
CM-2071315,JAK1 EC50(uM),0.111,,296.37,66.21,1.328,1.3276,2,5,3,0.41176,Class C,42.6,38,,,8.47
CM-2166671,JAK1 EC50(uM),3,,282.34,55.21,1.136,1.1352,1,5,3,0.5,Class C,58.7,52,,,2.5
CM-2156500,JAK1 EC50(uM),0.171,,381.42,49.74,3.021,1.383,1,5,4,0.33333,Class C,7.2,1,,,165
CM-2263823,JAK1 EC50(uM),3,,277.32,48.01,0.965,0.9649,0,5,3,0.4375,Class C,54.2,48,,,16.2
CM-2268738,JAK1 EC50(uM),0.199,,336.43,55.21,2.304,2.3042,1,5,3,0.6,Class C,29.8,9,,,32.5
CM-2152704,JAK1 EC50(uM),0.341,,367.49,58.45,1.74,,1,6,3,0.61905,Class C,16.3,546,,,40.7
CM-2152708,JAK1 EC50(uM),0.018,,353.46,58.45,1.441,,1,6,3,0.6,Class C,50.2,160,,,16.5
CM-2282970,JAK1 EC50(uM),0.00911,,343.33,75.08,-0.09,-0.0899,2,6,3,0.47059,Class C,46,31,,,2.5
CM-2270830,JAK1 EC50(uM),3,,319.33,57.2,-2.78,-2.7795,2,5,3,0.5,Class C,2.31,586,,,13.4
CM-2162162,JAK1 EC50(uM),0.487,,405.46,49.22,3.43,3.4291,1,5,3,0.61905,Class C,49.6,94,,,11.5
CM-2163478,JAK1 EC50(uM),0.0608,,385.45,49.22,1.739,-0.5615,1,5,3,0.61905,Class C,15.9,77,,,2.5
CM-2044459,JAK1 EC50(uM),3,,288.34,63.27,2.404,2.4025,1,6,2,0.6,Class C,59.6,562,,,134
CM-2144025,JAK1 EC50(uM),3,,294.35,65.03,2.603,2.5601,2,5,3,0.29412,Class C,,,,,
CM-2285513,JAK1 EC50(uM),0.00817,,369.37,83.79,1.849,1.8493,2,7,4,0.33333,Class C,51.1,34,,,13
CM-2147920,JAK1 EC50(uM),0.0786,,294.35,55.21,1.479,1.4782,1,5,3,0.41176,Class C,33.5,14,,,36.4
CM-2114805,JAK1 EC50(uM),3,,272.3,82.1,-0.765,-1.0243,2,6,2,0.5,Class C,,,,,
CM-2149390,JAK1 EC50(uM),3,,335.39,48.05,2.737,2.6859,1,5,2,0.64706,Class C,,,,,
CM-2152705,JAK1 EC50(uM),0.214,,381.51,58.45,2.097,,1,6,3,0.63636,Class C,6.14,,,,26.7
CM-2276253,JAK1 EC50(uM),0.843,,278.31,55.21,1.481,1.4805,1,5,4,0.125,Class C,43.8,29,,,2.5
CM-1987855,JAK1 EC50(uM),0.458,,311.42,49.22,2.098,-0.626,1,5,3,0.55556,Class C,30.9,368,,,11.6
CM-2008658,JAK1 EC50(uM),0.0929,,319.35,49.22,1.044,0.9728,1,5,3,0.5,Class C,50.1,437,,,16.4
CM-2004329,JAK1 EC50(uM),0.103,,349.38,58.45,0.983,0.9142,1,6,3,0.52941,Class C,48,350,,,15.9
CM-2144018,JAK1 EC50(uM),3,,333.43,48.05,3.008,1.2115,1,5,3,0.4,Class C,,,,,
CM-1987850,JAK1 EC50(uM),0.807,,353.46,58.45,1.295,-1.249,1,6,3,0.6,Class C,26.7,727,,,20.2
CM-2142517,JAK1 EC50(uM),0.0613,,359.42,49.22,1.525,-0.8765,1,5,3,0.57895,Class C,22.4,183,,,12.5
CM-2115537,JAK1 EC50(uM),0.507,,265.31,58.87,1.081,1.0805,1,5,3,0.4,Class C,62.8,354,,,5.28
CM-2206883,JAK1 EC50(uM),2.38,,367.44,67.68,0.999,-1.1997,1,7,3,0.6,Class C,,254,,,13.7
CM-2236091,JAK1 EC50(uM),0.787,,373.4,58.45,0.755,0.5268,1,6,3,0.57895,Class C,65.6,508,,,24.5
CM-1991700,JAK1 EC50(uM),0.0867,,350.42,82.24,0.312,0.3009,1,7,3,0.52632,Class C,37.4,549,,,3.05
CM-2219227,JAK1 EC50(uM),0.0408,,294.35,55.21,1.522,1.5213,1,5,3,0.41176,Class C,64.4,5.2,,,12.1
CM-2152685,JAK1 EC50(uM),0.235,,353.46,58.45,1.256,,1,6,3,0.6,Class C,42,582,,,10.5
CM-2079158,JAK1 EC50(uM),0.0185,,296.37,55.21,1.825,1.8239,1,5,3,0.41176,Class C,43.8,392,,,23
CM-2191941,JAK1 EC50(uM),0.0767,,327.4,49.22,1.101,-1.3276,1,5,3,0.55556,Class C,39,599,,,20.5
CM-1991741,JAK1 EC50(uM),0.019,,420.43,69.52,1.085,1.0848,1,7,3,0.55,Class C,49.6,426,,,5.76
CM-2043103,JAK1 EC50(uM),2.28,,255.28,68.1,-0.313,-0.3129,1,6,3,0.46154,Class C,56.8,373,,,5.54
CM-2170657,JAK1 EC50(uM),0.0731,,391.39,58.45,1.16,0.4398,1,6,3,0.57895,Class C,,,,,
CM-2144026,JAK1 EC50(uM),3,,310.33,61.88,2.9,2.8651,1,5,3,0.23529,Class C,,,,,
CM-2157944,JAK1 EC50(uM),0.0149,,441.37,114.77,1.455,-1.1834,2,9,3,0.5,Class C,0.241,609,,,6.14
CM-2149891,JAK1 EC50(uM),3,,298.38,55.21,2.13,2.1295,1,5,3,0.52941,Class C,26.1,20,,,110
CM-2006732,JAK1 EC50(uM),0.385,,353.34,58.45,1.871,0.9307,1,6,3,0.5,Class C,45,479,,,13.3
CM-2195251,JAK1 EC50(uM),0.138,,278.31,82.66,0.286,0.2861,1,6,3,0.46667,Class C,31.9,592,,,6.11
CM-2044165,JAK1 EC50(uM),0.344,,411.52,69.21,3.751,3.1785,2,7,2,0.59091,Class C,,553,,,16
CM-2152687,JAK1 EC50(uM),0.0453,,348.44,73,1.627,,1,6,3,0.55,Class C,43.4,175,,,14.8
CM-2282307,JAK1 EC50(uM),0.0444,,390.46,58.34,2.046,1.3469,1,6,2,0.5,Class C,,300,,,19.2
CM-2170658,JAK1 EC50(uM),0.0861,,391.39,58.45,1.16,0.4398,1,6,3,0.57895,Class C,,,,,
CM-2219087,JAK1 EC50(uM),0.286,,385.45,49.22,1.803,-0.5549,1,5,3,0.61905,Class C,,254,,,84.8
CM-2070754,JAK1 EC50(uM),0.00814,,360.45,66.21,2.832,2.831,2,5,4,0.36364,Class C,33.5,26,,,2.5
CM-1998352,JAK1 EC50(uM),0.0619,,325.37,75.52,0.641,0.6412,1,7,3,0.47059,Class C,45.5,260,,,8.35
CM-2191934,JAK1 EC50(uM),0.0479,,355.45,49.22,1.819,-0.8808,1,5,3,0.6,Class C,14.4,332,,,16.7
CM-2273693,JAK1 EC50(uM),0.117,,369.44,58.45,0.692,0.269,1,6,3,0.6,Class C,36.7,620,,,22.8
CM-2285731,JAK1 EC50(uM),0.0172,,351.38,83.79,1.111,1.1105,2,7,4,0.33333,Class C,40.3,49,,,12.7
CM-1370090,JAK1 EC50(uM),0.111,,353.46,58.45,1.196,-1.8079,1,6,3,0.6,Class C,27.7,848,,,14.8
CM-2040612,JAK1 EC50(uM),3,,259.69,58.87,0.399,0.3986,1,5,3,0.41667,Class C,56.6,117,,,6.39
CM-2144032,JAK1 EC50(uM),3,,318.38,60.94,1.95,1.9035,1,6,3,0.27778,Class C,,,,,
CM-2149391,JAK1 EC50(uM),3,,335.39,48.05,2.737,2.6859,1,5,2,0.64706,Class C,,,,,
CM-2273694,JAK1 EC50(uM),0.122,,369.44,58.45,0.692,0.269,1,6,3,0.6,Class C,41.4,605,,,30
CM-2114790,JAK1 EC50(uM),3,,327.42,65.12,2.383,2.3374,1,6,2,0.61111,Class C,,,,,
CM-2068139,JAK1 EC50(uM),0.0194,,312.41,66.21,2.22,2.2196,2,5,3,0.55556,Class C,47,6,,,45.6
CM-2224951,JAK1 EC50(uM),0.022,,334.36,55.21,2.78,2.7789,1,5,3,0.52941,Class C,1.56,221,,,2.5
CM-2228645,JAK1 EC50(uM),0.0579,,385.45,49.22,1.803,-0.5549,1,5,3,0.61905,Class C,17.9,103,,,
CM-2152691,JAK1 EC50(uM),3,,365.47,61.75,1.628,,1,6,3,0.61905,Class C,1.49,598,,,6.82
CM-2147940,JAK1 EC50(uM),0.579,,294.35,55.21,1.479,1.4782,1,5,3,0.41176,Class C,24.4,215,,,13.5
CM-2285475,JAK1 EC50(uM),0.045,,348.38,70.9,0.522,-0.6389,2,6,4,0.31579,Class C,45.3,29,,,2.5
CM-2236094,JAK1 EC50(uM),0.254,,391.42,67.68,0.612,0.4746,1,7,3,0.57895,Class C,55.4,507,,,9.51
CM-2228647,JAK1 EC50(uM),0.0959,,385.45,49.22,1.803,-0.5549,1,5,3,0.61905,Class C,12.2,254,,,60.7
CM-2162080,JAK1 EC50(uM),0.0399,,373.44,49.22,1.97,-0.4696,1,5,3,0.6,Class C,27.2,286,,,12.7
CM-2217639,JAK1 EC50(uM),0.0467,,350.41,64.44,0.732,0.7314,1,6,3,0.6,Class C,52.1,303,,,15.7
CM-2006734,JAK1 EC50(uM),0.162,,345.39,49.22,1.042,-1.186,1,5,3,0.55556,Class C,22,356,,,17
CM-2261597,JAK1 EC50(uM),0.28,,303.31,49.22,1.046,1.0407,1,5,3,0.46667,Class C,56.7,258,,,13.1
CM-2144033,JAK1 EC50(uM),3,,344.36,60.94,2.188,2.1411,1,6,3,0.35294,Class C,,,,,
CM-2144029,JAK1 EC50(uM),3,,320.39,54.04,3.04,3.0026,1,5,3,0.36842,Class C,,,,,
CM-2003632,JAK1 EC50(uM),0.00511,,388.41,69.52,0.836,0.8362,1,7,3,0.52632,Class C,46.5,238,,,8.71
CM-2262815,JAK1 EC50(uM),0.0668,,329.35,69.77,1.941,1.9379,1,5,3,0.47059,Class C,,157,,,
CM-2222356,JAK1 EC50(uM),0.116,,303.31,58.87,1.039,1.0395,1,5,3,0.53333,Class C,66.6,171,,,2.5
CM-2015123,JAK1 EC50(uM),0.829,,391.43,49.22,2.693,0.56,1,5,3,0.6,Class C,14.1,207,,,10.7
CM-1990867,JAK1 EC50(uM),0.0197,,349.34,75.52,0.642,0.6419,1,7,3,0.4375,Class C,60.4,462,,,2.5
CM-2229553,JAK1 EC50(uM),0.158,,335.45,49.22,1.961,-0.5637,1,5,3,0.6,Class C,31.2,303,,,12.5
CM-1991738,JAK1 EC50(uM),0.173,,381.47,72.76,-0.038,-0.157,1,8,3,0.55,Class C,11.5,333,,,2.5
CM-2152694,JAK1 EC50(uM),0.0359,,365.47,58.45,1.031,,1,6,3,0.61905,Class C,39,521,,,16.9
CM-2236095,JAK1 EC50(uM),0.5,,365.38,67.68,0.219,0.0494,1,7,3,0.52941,Class C,53.8,463,,,13.6
CM-2285732,JAK1 EC50(uM),0.0288,,351.38,83.79,1.622,1.6223,2,7,4,0.33333,Class C,50.4,96,,,2.5
CM-2162081,JAK1 EC50(uM),0.103,,373.44,49.22,1.97,-0.4696,1,5,3,0.6,Class C,20.9,105,,,18.5
CM-2033831,JAK1 EC50(uM),3,,338.45,62.11,1.493,-0.1293,1,6,3,0.63158,Class C,6.51,550,,,13
CM-2003775,JAK1 EC50(uM),0.0382,,363.36,75.52,1.009,1.0086,1,7,3,0.47059,Class C,38.3,143,,,12.2
CM-2217637,JAK1 EC50(uM),0.00958,,371.43,49.22,1.871,0.6406,1,5,3,0.6,Class C,10.2,137,,,12.7
CM-2180790,JAK1 EC50(uM),1.29,,337.34,49.22,1.558,0.2551,1,5,3,0.5,Class C,48.7,206,,,26.3
CM-2152701,JAK1 EC50(uM),0.0121,,357.43,58.45,0.8,,1,6,3,0.57895,Class C,32,532,,,12.9
CM-2040591,JAK1 EC50(uM),3,,289.33,76.16,1.573,1.5711,1,7,2,0.64286,Class C,58.3,492,,,26.8
CM-2236093,JAK1 EC50(uM),0.0571,,385.41,58.45,0.896,0.5614,1,6,3,0.6,Class C,55.7,560,,,72.2
CM-2151276,JAK1 EC50(uM),3,,306.36,55.21,1.223,1.2219,1,5,3,0.44444,Class C,32.7,146,,,17.6
CM-2248988,JAK1 EC50(uM),0.517,,271.29,49.22,0.58,0.5747,1,5,3,0.42857,Class C,56.8,431,,,14.8
CM-2270830,JAK1 EC50(uM),3,,319.33,57.2,-2.78,-2.7795,2,5,3,0.5,Class C,2.31,586,,,13.4
CM-2144024,JAK1 EC50(uM),3,,361.39,82.19,2.045,2.0011,1,7,3,0.25,Class C,,,,,
CM-2216782,JAK1 EC50(uM),0.0812,,375.42,58.45,1.202,-0.2866,1,6,3,0.57895,Class C,44.4,284,,,2.5
CM-2261600,JAK1 EC50(uM),0.325,,289.28,49.22,0.563,0.5571,1,5,3,0.42857,Class C,54.1,169,,,6.87
CM-2232243,JAK1 EC50(uM),0.0855,,357.4,58.01,1.781,-0.4254,2,5,3,0.57895,Class C,13.2,418,,,60
CM-2236090,JAK1 EC50(uM),0.302,,367.37,58.45,1.699,1.642,1,6,3,0.52941,Class C,60.5,93,,,5.43
CM-2279807,JAK1 EC50(uM),0.0532,,351.38,83.79,1.229,1.2283,2,7,4,0.33333,Class C,49.2,164,,,13.2
CM-2152678,JAK1 EC50(uM),0.285,,327.42,58.45,1.144,,1,6,3,0.55556,Class C,37.8,,,,9.32
